pubmed_id	target_gene_species	Gene	genBank_access	miRNA_species	miRNA
19179606	Homo sapiens	KRAS	NM_033360	Homo sapiens	hsa-let-71f1
19179606	Homo sapiens	HMGA2	NM_003484	Homo sapiens	hsa-let-71f1
19179606	Homo sapiens	HMGA1	NM_145905	Homo sapiens	hsa-let-71f1
17220301	Homo sapiens	NF2	NM_181833	Homo sapiens	hsa-let-7a
15766527	Homo sapiens	KRAS	NM_004985	Homo sapiens	hsa-let-7a
15766527	Homo sapiens	KRAS	NM_004985	Homo sapiens	hsa-let-7a
15766527	Homo sapiens	KRAS	NM_004985	Homo sapiens	hsa-let-7a
15766527	Homo sapiens	KRAS	NM_004985	Homo sapiens	hsa-let-7a
15766527	Homo sapiens	KRAS	NM_004985	Homo sapiens	hsa-let-7a
15766527	Homo sapiens	KRAS	NM_004985	Homo sapiens	hsa-let-7a
15766527	Homo sapiens	KRAS	NM_004985	Homo sapiens	hsa-let-7a
15766527	Homo sapiens	KRAS	NM_004985	Homo sapiens	hsa-let-7a
15766527	Homo sapiens	NRAS	NM_002524	Homo sapiens	hsa-let-7a
15766527	Homo sapiens	NRAS	NM_002524	Homo sapiens	hsa-let-7a
15766527	Homo sapiens	NRAS	NM_002524	Homo sapiens	hsa-let-7a
15766527	Homo sapiens	NRAS	NM_002524	Homo sapiens	hsa-let-7a
15766527	Homo sapiens	NRAS	NM_002524	Homo sapiens	hsa-let-7a
15766527	Homo sapiens	NRAS	NM_002524	Homo sapiens	hsa-let-7a
15766527	Homo sapiens	NRAS	NM_002524	Homo sapiens	hsa-let-7a
15766527	Homo sapiens	NRAS	NM_002524	Homo sapiens	hsa-let-7a
15766527	Homo sapiens	NRAS	NM_002524	Homo sapiens	hsa-let-7a
17890240	Homo sapiens	TRIM71	NM_001039111	Homo sapiens	hsa-let-7a
17890240	Homo sapiens	TRIM71	NM_001039111	Homo sapiens	hsa-let-7a
17600087	Homo sapiens	HMGA2	NM_003483	Homo sapiens	hsa-let-7a
17600087	Homo sapiens	HMGA2	NM_003483	Homo sapiens	hsa-let-7a
17600087	Homo sapiens	HMGA2	NM_003483	Homo sapiens	hsa-let-7a
17600087	Homo sapiens	HMGA2	NM_003483	Homo sapiens	hsa-let-7a
17600087	Homo sapiens	HMGA2	NM_003483	Homo sapiens	hsa-let-7a
17600087	Homo sapiens	HMGA2	NM_003483	Homo sapiens	hsa-let-7a
17600087	Homo sapiens	HMGA2	NM_003483	Homo sapiens	hsa-let-7a
16495412	Homo sapiens	LIN28	NM_024674	Homo sapiens	hsa-let-7a
18758960	Homo sapiens	CASP3	NM_032991	Homo sapiens	hsa-let-7a
18700235	Homo sapiens	DICER1	NM_177438	Homo sapiens	hsa-let-7a
18583325	Homo sapiens	PRDM1	NM_182907	Homo sapiens	hsa-let-7a
18679415	Homo sapiens	ITGB3	NM_000212	Homo sapiens	hsa-let-7a
20144220	Homo sapiens	EIF2C4	NM_017629	Homo sapiens	hsa-let-7a
20005451	Homo sapiens	HRAS	NM_005343	Homo sapiens	hsa-let-7a
19939273	Homo sapiens	ACP1	NM_007099	Homo sapiens	hsa-let-7a
19939273	Homo sapiens	DAD1	NM_001344	Homo sapiens	hsa-let-7a
19939273	Homo sapiens	EIF3S1	NM_003758	Homo sapiens	hsa-let-7a
19939273	Homo sapiens	MED28	NM_025205	Homo sapiens	hsa-let-7a
